"predict","p0","p1"
"0",0.8920529626555344,0.10794703734446565
"0",0.718836074988989,0.28116392501101095
"0",0.8927611828313508,0.10723881716864926
"0",0.7593293087487057,0.24067069125129426
"1",0.5107918104268081,0.48920818957319195
"0",0.6819376599800404,0.3180623400199596
"1",0.3954136479501018,0.6045863520498982
"0",0.7957376197467069,0.20426238025329313
"1",0.26254125450059096,0.737458745499409
"0",0.9406400920627145,0.05935990793728548
"0",0.9263557469207828,0.07364425307921721
"0",0.7985861547946342,0.2014138452053658
"1",0.12555352760821958,0.8744464723917804
"0",0.8456633585767378,0.15433664142326223
"1",0.0917759330231781,0.9082240669768219
"1",0.14392026101238375,0.8560797389876162
"0",0.9039963587226227,0.0960036412773773
"0",0.7526404643549591,0.2473595356450409
"1",0.5562185682460496,0.4437814317539503
"1",0.44048588186045134,0.5595141181395487
"0",0.8519487959179622,0.14805120408203776
"0",0.8458268716195249,0.15417312838047514
"1",0.21949195707011993,0.7805080429298801
"0",0.728863343809653,0.27113665619034694
"1",0.09466776090844753,0.9053322390915525
"0",0.9202852784901079,0.07971472150989206
"1",0.05234941240990176,0.9476505875900982
"0",0.750148599026578,0.24985140097342196
"1",0.45615109338855364,0.5438489066114464
"0",0.8672446789627257,0.1327553210372743
"0",0.7866458884047827,0.21335411159521733
"0",0.8170880738550697,0.1829119261449304
"1",0.5849447835880373,0.4150552164119627
"0",0.7449771709411682,0.2550228290588318
"1",0.3270078080830856,0.6729921919169144
"0",0.7745566498928534,0.22544335010714653
"1",0.605142738464261,0.39485726153573897
"1",0.536756084958868,0.463243915041132
"0",0.9117301324809918,0.08826986751900824
"0",0.7891832614092987,0.21081673859070127
"0",0.886082550217856,0.11391744978214398
"1",0.6252646900564744,0.37473530994352555
"0",0.8836961393531687,0.11630386064683133
"1",0.11750436605545878,0.8824956339445412
"1",0.08143202867141297,0.918567971328587
"0",0.8935983617613866,0.10640163823861334
"1",0.4982692663415039,0.5017307336584961
"0",0.9195755729985553,0.08042442700144464
"1",0.15379273806330307,0.8462072619366969
"1",0.5158205598698486,0.4841794401301513
"1",0.5370390253595183,0.46296097464048164
"0",0.8689433280921132,0.13105667190788686
"1",0.14960730292232727,0.8503926970776727
"1",0.17907373132165105,0.820926268678349
"0",0.8188853996844955,0.1811146003155045
"0",0.9063142201718715,0.09368577982812858
"0",0.8778895554921458,0.12211044450785426
"0",0.9210458027409864,0.07895419725901365
"0",0.9085406657528678,0.09145933424713215
"1",0.05755293019866792,0.9424470698013321
"0",0.8966854951211065,0.10331450487889349
"0",0.7354533691907953,0.2645466308092047
"0",0.9053581293972409,0.09464187060275904
"1",0.3386335282177999,0.6613664717822001
"1",0.4320199861384243,0.5679800138615757
"1",0.16825912826188205,0.831740871738118
"1",0.22141158296494823,0.7785884170350518
"0",0.8009959531124329,0.19900404688756712
"1",0.2665782336666963,0.7334217663333037
"1",0.140235729376604,0.859764270623396
"1",0.40363845946672705,0.596361540533273
"0",0.9151481432164579,0.08485185678354207
"1",0.24740477773824,0.75259522226176
"1",0.2623847528746571,0.7376152471253429
"1",0.06253490012516416,0.9374650998748358
"1",0.4557842523756125,0.5442157476243875
"0",0.921078176010313,0.07892182398968696
"1",0.18561072178701143,0.8143892782129886
"0",0.8534875833389125,0.1465124166610875
"1",0.40363845946672705,0.596361540533273
"1",0.266596078924915,0.733403921075085
"0",0.7779113433695692,0.22208865663043076
"0",0.8065663146950033,0.19343368530499666
"0",0.9263557469207828,0.07364425307921721
"0",0.8734819842406074,0.12651801575939264
"0",0.9013160557149055,0.0986839442850945
"1",0.3121819409689712,0.6878180590310288
"1",0.505849545766203,0.494150454233797
"1",0.26390452082430804,0.736095479175692
"1",0.18555806921090023,0.8144419307890998
"1",0.5816648943899412,0.4183351056100589
"0",0.8861596347920311,0.11384036520796888
"1",0.1041710971172134,0.8958289028827866
"0",0.921078176010313,0.07892182398968696
"0",0.7531779736152815,0.2468220263847185
"0",0.9103487096513224,0.08965129034867761
"1",0.19231077142641817,0.8076892285735818
"0",0.7575953520012222,0.24240464799877784
"1",0.4287855026928472,0.5712144973071528
"0",0.8164975387460924,0.18350246125390754
"1",0.049717881315198276,0.9502821186848017
"0",0.7447059640195038,0.25529403598049616
"0",0.9195755729985553,0.08042442700144464
"0",0.8554722155999159,0.14452778440008412
"1",0.33961062291472344,0.6603893770852766
"0",0.8495309301092243,0.15046906989077566
"0",0.9067717535137848,0.09322824648621524
"0",0.9195755729985553,0.08042442700144464
"0",0.9157174723722862,0.08428252762771384
"1",0.6199844803683356,0.38001551963166436
"0",0.8947070419243538,0.1052929580756462
"1",0.22600582871878994,0.7739941712812101
"1",0.06602075216649239,0.9339792478335076
"1",0.3183966954162014,0.6816033045837986
"1",0.1546428574610068,0.8453571425389932
"0",0.7798388549191999,0.22016114508080004
